819	565
802	847
319	1000
101	669
193	177
108	579
482	964
657	642
994	846
516	646
81	290
17	526
638	552
893	112
871	410
564	893
324	852
692	939
504	991
909	210
662	859
901	671
242	840
26	939
711	27
607	418
248	436
211	128
165	173
832	344
48	76
912	57
513	813
600	750
55	398
507	132
838	763
666	86
356	297
805	86
792	736
871	934
562	15
311	968
742	997
522	615
753	929
455	907
331	104
923	945
828	471
304	817
783	298
651	129
22	488
856	809
673	125
538	8
767	332
675	998
19	487
767	356
170	902
669	516
737	765
534	964
82	655
950	596
85	155
448	333
918	729
616	782
594	817
943	905
502	175
843	461
447	319
259	473
351	1
321	166
867	443
64	681
947	302
947	571
96	937
746	345
577	501
911	570
234	316
618	442
888	956
814	747
789	663
813	674
582	583
314	540
367	66
207	691
414	348
619	530
