958	21
869	0
24	51
403	576
374	878
837	68
716	653
249	758
701	849
542	192
1	640
937	696
366	971
838	678
82	716
776	753
621	177
521	918
987	501
937	18
291	10
514	942
677	504
945	446
870	930
381	457
298	39
434	508
784	481
273	321
777	659
552	615
110	718
676	126
575	743
114	965
81	707
19	285
1	364
461	452
911	854
118	529
910	335
221	251
753	986
379	466
894	690
535	744
787	265
529	194
403	966
717	497
986	318
504	636
874	749
136	410
149	127
131	723
67	383
301	932
441	626
665	945
53	187
194	430
121	513
459	20
791	528
125	919
29	451
464	211
221	735
346	544
121	582
782	118
484	671
430	526
620	42
348	325
613	572
330	578
284	861
28	159
53	731
784	104
856	243
213	627
682	976
912	74
454	228
866	283
62	632
418	306
676	724
245	814
142	701
372	776
520	733
758	220
134	714
953	49
537	617
919	756
41	923
179	413
827	949
507	705
964	618
851	659
59	430
504	586
948	75
565	261
366	381
897	30
355	79
928	585
31	398
61	372
269	876
430	763
828	3
973	46
247	612
233	111
726	656
1	543
502	162
273	893
786	834
572	143
278	906
659	406
647	667
409	427
686	92
244	354
496	642
269	604
296	397
59	444
979	657
521	97
832	404
361	970
242	60
140	267
24	294
62	678
115	591
281	795
50	561
377	688
724	365
394	754
308	404
297	351
539	455
106	88
946	199
659	344
744	849
823	209
925	313
351	308
550	402
934	202
480	213
654	193
925	713
444	443
916	323
771	803
106	942
297	446
656	446
542	923
550	604
894	49
891	945
164	389
316	849
895	359
362	313
880	34
201	266
277	433
81	842
660	835
223	102
455	315
38	732
471	530
903	839
345	337
494	248
916	957
962	589
953	688
797	845
842	905
737	558
486	937
979	186
717	389
133	757
304	484
660	597
93	380
993	744
177	873
398	760
290	611
555	463
763	487
162	300
319	47
540	307
43	796
74	203
198	728
298	374
225	603
476	164
992	172
401	805
608	767
212	724
9	901
734	931
394	632
331	341
870	715
201	781
285	229
688	586
915	684
610	0
493	514
316	579
671	416
626	612
673	717
548	376
85	242
135	711
745	764
107	341
842	661
407	165
852	891
926	398
972	60
341	238
812	1000
533	201
742	875
261	715
978	558
450	599
97	58
759	62
235	447
936	778
260	919
397	297
355	869
167	292
738	133
428	412
413	126
674	209
868	116
111	405
449	991
377	422
291	380
763	155
478	130
575	216
121	115
696	926
662	766
32	269
63	397
945	989
63	219
744	192
497	370
927	268
427	293
974	297
52	158
275	353
796	493
190	639
694	932
813	180
215	634
321	947
88	281
736	83
983	837
108	734
620	529
178	982
683	63
524	116
325	238
140	10
814	332
394	553
499	840
81	251
542	394
675	780
320	419
944	269
397	39
915	895
68	930
733	437
731	753
597	873
654	201
647	323
54	145
21	786
101	849
677	953
220	12
651	53
191	263
443	480
799	907
810	855
533	918
708	544
712	649
752	965
58	370
147	149
143	760
915	410
166	338
847	963
444	813
539	301
812	193
123	784
497	867
296	944
686	726
477	463
515	988
442	324
28	22
534	745
100	722
945	478
538	471
167	227
516	627
775	181
912	771
658	647
163	708
614	881
170	23
866	795
822	525
458	321
984	335
7	977
757	56
976	479
570	332
508	241
769	644
11	562
45	59
656	500
679	242
385	902
303	704
864	992
141	937
829	334
246	774
221	260
861	20
84	621
642	403
46	541
844	105
600	107
907	27
958	144
434	16
439	167
463	807
698	302
755	642
4	858
785	493
358	650
531	446
956	841
961	946
618	338
535	148
276	819
23	290
349	502
173	345
610	943
961	10
886	896
185	864
883	275
847	287
75	83
641	819
989	975
754	687
752	18
909	805
110	5
425	505
35	728
298	149
880	232
479	543
619	222
470	53
57	267
624	298
69	421
145	267
244	171
638	470
556	342
51	641
675	393
97	415
859	384
190	101
564	614
219	52
789	655
803	871
412	175
746	570
894	149
958	683
307	267
35	960
154	522
727	227
708	638
680	358
481	366
792	377
22	828
891	112
466	474
587	895
351	241
366	6
323	242
201	78
880	148
803	511
388	212
599	813
723	140
803	627
125	933
667	26
597	856
705	9
815	246
904	261
885	815
662	761
111	261
884	846
16	611
567	277
585	451
601	144
676	971
792	321
595	136
947	643
383	38
113	425
863	516
203	44
754	804
479	941
